id,likes,day,month,year,time_hours,time_minutes
52544,0,3,8,2017,17,22
52527,1,3,8,2017,16,44
52525,0,3,8,2017,16,38
52520,0,3,8,2017,16,21
52517,41,3,8,2017,16,15
52513,0,3,8,2017,16,8
52511,0,3,8,2017,16,5
52507,0,3,8,2017,15,58
52501,1,3,8,2017,15,3
52498,11,3,8,2017,14,41
52497,1,3,8,2017,14,37
52488,32,3,8,2017,13,7
52469,1,3,8,2017,12,10
52466,0,3,8,2017,12,3
52461,27,3,8,2017,11,11
52458,0,3,8,2017,10,59
52453,0,3,8,2017,9,29
52442,2,3,8,2017,1,19
52435,17,3,8,2017,0,16
52417,1,2,8,2017,21,49
52415,8,2,8,2017,21,35
52409,1,2,8,2017,20,10
52408,0,2,8,2017,19,57
52403,0,2,8,2017,19,30
52397,5,2,8,2017,18,57
52393,0,2,8,2017,18,13
52391,0,2,8,2017,17,35
52386,0,2,8,2017,15,46
52381,1,2,8,2017,14,54
52356,0,2,8,2017,14,16
52351,0,2,8,2017,13,51
52350,4,2,8,2017,13,32
52349,14,2,8,2017,13,15
52343,0,2,8,2017,13,6
52340,3,2,8,2017,12,56
52335,1,2,8,2017,12,1
52330,0,2,8,2017,11,43
52326,0,2,8,2017,11,3
52317,2,2,8,2017,8,45
52316,0,2,8,2017,8,43
52314,1,2,8,2017,7,43
52310,0,2,8,2017,6,45
52307,0,2,8,2017,2,6
52306,0,2,8,2017,2,0
52305,1,2,8,2017,1,13
52302,7,2,8,2017,0,13
52298,0,1,8,2017,23,56
52293,0,1,8,2017,22,40
52291,5,1,8,2017,22,2
52287,0,1,8,2017,21,37
52286,0,1,8,2017,21,28
52280,0,1,8,2017,20,52
52279,0,1,8,2017,20,44
52276,0,1,8,2017,20,31
52270,0,1,8,2017,18,54
52267,0,1,8,2017,18,35
52245,0,1,8,2017,17,36
52243,1,1,8,2017,17,28
52240,0,1,8,2017,17,21
52239,1,1,8,2017,17,17
52232,0,1,8,2017,16,40
52230,0,1,8,2017,16,38
52227,0,1,8,2017,16,31
52226,2,1,8,2017,16,28
52224,0,1,8,2017,16,14
52222,3,1,8,2017,15,29
52221,1,1,8,2017,15,2
52215,0,1,8,2017,14,40
52211,1,1,8,2017,14,4
52210,0,1,8,2017,13,53
52205,0,1,8,2017,13,1
52202,0,1,8,2017,12,9
52200,0,1,8,2017,12,4
52196,0,1,8,2017,12,0
52190,0,1,8,2017,11,3
52188,0,1,8,2017,10,59
52187,1,1,8,2017,10,49
52185,0,1,8,2017,10,38
52178,1,1,8,2017,9,46
52171,0,1,8,2017,9,3
52169,0,1,8,2017,8,54
52168,0,1,8,2017,8,53
52162,0,1,8,2017,6,20
52155,3,1,8,2017,1,49
52151,0,1,8,2017,1,7
52142,0,1,8,2017,0,45
52139,14,1,8,2017,0,38
52138,20,1,8,2017,0,31
52137,0,1,8,2017,0,30
52129,0,31,7,2017,23,58
52128,1,31,7,2017,23,52
52121,0,31,7,2017,23,25
52119,0,31,7,2017,23,20
52117,0,31,7,2017,23,4
52111,6,31,7,2017,22,14
52106,0,31,7,2017,21,48
52104,3,31,7,2017,21,34
52090,0,31,7,2017,21,7
52085,0,31,7,2017,20,59
52084,10,31,7,2017,20,58
52080,0,31,7,2017,20,30
52076,1,31,7,2017,20,20
52071,1,31,7,2017,19,57
52066,1,31,7,2017,19,27
52058,0,31,7,2017,19,13
52056,0,31,7,2017,19,8
52053,0,31,7,2017,18,51
52046,0,31,7,2017,18,19
52043,0,31,7,2017,18,11
52041,0,31,7,2017,18,0
52035,0,31,7,2017,17,40
52032,0,31,7,2017,17,30
52026,0,31,7,2017,17,20
52022,1,31,7,2017,17,7
52019,0,31,7,2017,16,54
52014,0,31,7,2017,16,23
52013,0,31,7,2017,16,21
52009,0,31,7,2017,15,35
51999,0,31,7,2017,15,8
51992,0,31,7,2017,14,45
51989,0,31,7,2017,14,42
51984,0,31,7,2017,14,25
51983,4,31,7,2017,14,22
51980,1,31,7,2017,14,15
51973,0,31,7,2017,13,33
51969,0,31,7,2017,13,12
51959,0,31,7,2017,12,44
51956,0,31,7,2017,12,36
51952,3,31,7,2017,12,24
51948,1,31,7,2017,11,38
51945,0,31,7,2017,11,31
51940,0,31,7,2017,11,0
51930,0,31,7,2017,3,49
51928,0,31,7,2017,2,46
51923,3,31,7,2017,0,17
51922,4,31,7,2017,0,13
51921,0,30,7,2017,23,58
51914,0,30,7,2017,21,50
51913,0,30,7,2017,21,29
51911,2,30,7,2017,21,22
51906,2,30,7,2017,21,1
51880,0,30,7,2017,20,15
51879,1,30,7,2017,20,15
51870,0,30,7,2017,19,44
51868,0,30,7,2017,19,43
51865,0,30,7,2017,19,36
51864,0,30,7,2017,19,36
51853,0,30,7,2017,18,0
51851,0,30,7,2017,17,58
51839,0,30,7,2017,17,24
51836,19,30,7,2017,17,15
51809,1,30,7,2017,15,11
51803,1,30,7,2017,14,51
51792,0,30,7,2017,14,17
51783,0,30,7,2017,13,50
51782,0,30,7,2017,13,49
51780,0,30,7,2017,13,44
51779,0,30,7,2017,13,43
51775,0,30,7,2017,13,38
51765,0,30,7,2017,13,16
51763,0,30,7,2017,13,9
51762,0,30,7,2017,13,9
51757,0,30,7,2017,12,54
51755,0,30,7,2017,12,52
51752,0,30,7,2017,12,46
51750,0,30,7,2017,12,45
